t E e M
s erg erg g
3239.24300853341 1.3863600547285593e+51 6.192774616797725e+50 1.990326569770809e+33
3245.29812219125 1.3867924353129935e+51 6.192992759609674e+50 1.9903259847844282e+33
3251.32107627012 1.3872204585758582e+51 6.193383042699066e+50 1.9903253868820516e+33
3257.32429697786 1.3876443308391132e+51 6.19352965610517e+50 1.9903247660717324e+33
3263.30740121051 1.3880656130763062e+51 6.193793473289708e+50 1.990324124532574e+33
3269.27983336918 1.3884853731787893e+51 6.193943962657222e+50 1.9903234676677497e+33
3275.2498734122 1.3889027471730195e+51 6.194033249937886e+50 1.990322797163894e+33
3281.21589080374 1.3893180046362378e+51 6.19429243557594e+50 1.9903221185897823e+33
3287.19183248115 1.3897339438962206e+51 6.194318012582398e+50 1.99032143225386e+33
3293.19062447796 1.3901506482766352e+51 6.194479728365747e+50 1.9903207382482563e+33
3299.21868997689 1.3905665152916408e+51 6.194526408682869e+50 1.990320037431784e+33
3305.27926172313 1.390982934383502e+51 6.194523860300021e+50 1.9903193302070798e+33
3311.37544298304 1.3914013552853259e+51 6.194579540438316e+50 1.9903186166619972e+33
3317.5030719137 1.3918200556127724e+51 6.194391787132228e+50 1.99031789783036e+33
3323.66275013298 1.3922383430596313e+51 6.194463695271969e+50 1.9903171742874645e+33
3329.84930892442 1.3926572543491557e+51 6.194330756013431e+50 1.9903164470517007e+33
3336.05803956762 1.3930771404379818e+51 6.194387993336483e+50 1.9903157166235016e+33
3342.29563887233 1.3934973095945535e+51 6.194292676425647e+50 1.9903149825891877e+33
3348.57028423448 1.3939178567382333e+51 6.194328195090206e+50 1.990314244375515e+33
3354.87947672721 1.3943400006389392e+51 6.194206955889836e+50 1.9903135028739924e+33
3361.22335881114 1.3947638232647333e+51 6.1941414377753935e+50 1.9903127583762613e+33
3367.60696769604 1.395188296060248e+51 6.193924737455845e+50 1.9903120109523872e+33
3374.03589285776 1.3956136471383385e+51 6.1938825840668785e+50 1.9903112602849597e+33
3380.50732396018 1.3960410746699914e+51 6.1935996855799694e+50 1.990310507145642e+33
3387.01374395347 1.3964698064956303e+51 6.193542016258908e+50 1.9903097525393687e+33
3393.5545458052 1.3968981063810423e+51 6.193300320318542e+50 1.9903089968709296e+33
3400.12664806493 1.3973266048985616e+51 6.1931418833563935e+50 1.9903082407943438e+33
3406.7159654981 1.3977554968180526e+51 6.193003461069136e+50 1.9903074860195586e+33
3413.31817892605 1.398183530535253e+51 6.192687943677485e+50 1.9903067331707754e+33
3419.93072969625 1.3986096105425153e+51 6.192617256650234e+50 1.9903059825329804e+33
3426.55119348537 1.399035186522162e+51 6.19245402041007e+50 1.9903052344484822e+33
3433.17451514719 1.399460325967754e+51 6.192304616432421e+50 1.9903044892673865e+33
3439.79690523145 1.3998828395908339e+51 6.192252605408193e+50 1.990303747077627e+33
3446.41977309074 1.4003030284679606e+51 6.192038786154124e+50 1.9903030074282236e+33
3453.04858939842 1.4007230599923786e+51 6.191969197191571e+50 1.9903022695640114e+33
3459.67348073218 1.4011413739328828e+51 6.191780835478574e+50 1.99030153476639e+33
3466.30276980392 1.4015569688947822e+51 6.191516082854441e+50 1.9903008022221366e+33
3472.9336143783 1.4019708094179596e+51 6.191441470993362e+50 1.9903000723108268e+33
3479.56285060877 1.402384326795694e+51 6.19115834743616e+50 1.9902993454902327e+33
3486.18828297598 1.4027959655524614e+51 6.190971534152134e+50 1.9902986217189943e+33
3492.82182480396 1.4032047991571051e+51 6.190792947318186e+50 1.9902978993924714e+33
3499.46152058131 1.4036128712463832e+51 6.190503588758546e+50 1.9902971781294895e+33
3506.11257261702 1.4040216901797355e+51 6.19032775530354e+50 1.9902964570469776e+33
3512.7843873787 1.4044294144221587e+51 6.189957229264091e+50 1.9902957353683284e+33
